domain_id,region,domain,nlon,nlat,ll_lon,ll_lat,dlon,dlat,pollon,pollat,ur_lon,ur_lat
AFR-11,5,Africa,801,865,-26.235,-49.335,0.11,0.11,180.0,90.0,,
AFR-22,5,Africa,401,433,-26.29,-49.39,0.22,0.22,180.0,90.0,,
AFR-44,5,Africa,217,217,-29.92,-49.28,0.44,0.44,180.0,90.0,,
AUS-11,9,Australasia,811,541,321.49,-60.2,0.11,0.11,141.38,60.31,,
AUS-22,9,Australasia,433,271,138.31,-24.53,0.22,0.22,141.38,60.31,,
AUS-44,9,Australasia,217,145,321.82,-59.87,0.44,0.44,141.38,60.31,,
CAM-11,2,Central America,865,481,294.09,-75.63,0.11,0.11,113.98,75.74,,
CAM-22,2,Central America,433,241,-54.45,-30.47,0.22,0.22,113.98,75.74,,
CAM-44,2,Central America,241,129,-59.84,-32.12,0.44,0.44,113.98,75.74,,
CAS-11,8,Central Asia,641,433,-36.025,-22.605,0.11,0.11,-103.39,43.48,,
CAS-22,8,Central Asia,325,217,-36.63,-22.77,0.22,0.22,-103.39,43.48,,
CAS-44,8,Central Asia,181,121,-40.48,-25.52,0.44,0.44,-103.39,43.48,,
EAS-11,7,East Asia,811,513,116.41,-60.89,0.11,0.11,-63.7,61.0,,
EAS-22,7,East Asia,433,271,-47.41,-24.3,0.22,0.22,296.3,61.0,,
EAS-44,7,East Asia,201,165,476.74,-60.56,0.44,0.44,296.3,61.0,,
EUR-11,4,Europe high-res.,433,433,-28.925,-23.925,0.11,0.11,-162.0,39.25,,
EUR-22,4,Europe,241,217,-31.62,-24.64,0.22,0.22,-162.0,39.25,,
EUR-44,4,Europe,129,121,-31.73,-26.73,0.44,0.44,-162.0,39.25,,
NAM-11,3,North America,641,541,263.11,-42.39,0.11,0.11,83.0,42.5,,
NAM-22,3,North America,321,271,-35.31,-29.83,0.22,0.22,83.0,42.5,,
NAM-44,3,North America,181,151,-39.6,-33.24,0.44,0.44,83.0,42.5,,
SAM-11,1,South America,601,721,124.05,-70.49,0.11,0.11,-56.06,70.6,,
SAM-22,1,South America,301,361,142.71,-41.47,0.22,0.22,-56.06,70.6,,
SAM-44,1,South America,161,181,140.4,-41.36,0.44,0.44,-56.06,70.6,,
SEA-22,14,South East Asia,289,217,86.4,-17.82,0.22,0.22,180.0,90.0,,
WAS-22,6,South Asia,401,271,-33.99,-22.99,0.22,0.22,-123.34,79.95,,
EUR+NA-11,4,Europe + North Atlantic,649,433,18.11,-39.14,0.11,0.11,-162.0,39.25,,
HUN-11,4,Hungary,301,145,360.11,-89.89,0.11,0.11,180.0,90.0,,
SASSCAL-22,5,Southern Africa,433,433,360.22,-89.78,0.22,0.22,180.0,90.0,,
GAR-11,4,Greater Alpine Region,145,129,-14.955,-12.155,0.11,0.11,-162.0,39.25,,
EUN-0275,4,EUCP Northern Europe,649,811,-9.99125,-0.20625,0.0275,0.0275,-162.0,39.25,,
EUC-0275,4,EUCP Central Europe,361,401,-9.52375,-5.29375,0.0275,0.0275,-162.0,39.25,,
SGAR-0275,4,Greater Alpine Region,289,271,-9.38625,-9.66625,0.0275,0.0275,-162.0,39.25,,
GAR-0275,4,Greater Alpine Region,501,481,-13.92375,-11.67375,0.0275,0.0275,-162.0,39.25,-0.17375,1.52625
MEU-11,4,Mid-Europe,121,121,-10.89,-6.89,0.11,0.11,-162.0,39.25
WAF-11,5,Westafrica,361,271,-20.68,2.64,0.11,0.11,180.0,90.0
MSEA-11,14,South East Asia Mainland,145,181,92.34,7.12,0.11,0.11,180.0,80.0
MOMED-11,12,Mediterranean,487,321,-27.925,-25.925,0.11,0.11,198.0,39.25
HYDRASIA-11,8,Central Asia,257,271,-20.025,-20.605,0.11,0.11,-103.39,43.48
